Idõszak;Nyereség
1;-13090,0000
2;-12660,0000
3;-12660,0000
4;-12660,0000
5;-12590,0000
6;-11510,0000
7;-10660,0000
8;-10660,0000
9;-10660,0000
10;-10160,0000
11;-9810,0000
12;-8760,0000
13;-8590,0000
14;-8590,0000
15;-8590,0000
16;-7850,0000
17;-7760,0000
18;-7760,0000
19;-6600,0000
20;-6520,0000
21;-6190,0000
22;-5710,0000
23;-5460,0000
24;-4860,0000
25;-4720,0000
26;-4460,0000
27;-4360,0000
28;-3970,0000
29;-3970,0000
30;-3970,0000
31;-3340,0000
32;-3180,0000
33;-2960,0000
34;-2960,0000
35;-2960,0000
36;-2110,0000
37;-2110,0000
38;-2110,0000
39;-2110,0000
40;-1910,0000
41;-1810,0000
42;-1760,0000
43;-1510,0000
44;-1370,0000
45;-1220,0000
46;-1170,0000
47;-1010,0000
48;-1010,0000
49;-610,0000
50;-610,0000
51;-610,0000
52;-560,0000
53;-560,0000
54;-420,0000
55;-100,0000
56;-20,0000
57;0,0000
58;140,0000
59;140,0000
60;140,0000
61;440,0000
62;790,0000
63;790,0000
64;790,0000
65;800,0000
66;800,0000
67;800,0000
68;800,0000
69;800,0000
70;910,0000
71;1090,0000
72;1390,0000
73;1390,0000
74;1390,0000
75;1510,0000
76;1780,0000
77;1810,0000
78;1810,0000
79;1810,0000
80;1840,0000
81;2090,0000
82;2090,0000
83;2100,0000
84;2210,0000
85;2390,0000
86;2460,0000
87;2460,0000
88;2460,0000
89;2700,0000
90;2730,0000
91;2800,0000
92;3080,0000
93;3080,0000
94;3080,0000
95;3080,0000
96;3100,0000
97;3110,0000
98;3310,0000
99;3310,0000
100;3310,0000
101;3310,0000
102;3310,0000
103;3310,0000
104;3540,0000
105;3540,0000
106;3540,0000
107;3560,0000
108;3580,0000
109;3640,0000
110;3640,0000
111;3670,0000
112;3690,0000
113;3690,0000
114;3690,0000
115;3740,0000
116;3740,0000
117;3740,0000
118;3780,0000
119;3940,0000
120;3940,0000
121;3940,0000
122;4000,0000
123;4040,0000
124;4070,0000
125;4140,0000
126;4140,0000
127;4250,0000
128;4330,0000
129;4380,0000
130;4440,0000
131;4690,0000
132;4690,0000
133;4690,0000
134;4720,0000
135;4720,0000
136;4720,0000
137;4720,0000
138;4720,0000
139;4740,0000
140;4740,0000
141;4750,0000
142;4840,0000
143;4850,0000
144;4950,0000
145;4990,0000
146;5090,0000
147;5090,0000
148;5190,0000
149;5340,0000
150;5540,0000
151;5590,0000
152;5590,0000
153;5590,0000
154;5590,0000
155;5590,0000
156;5590,0000
157;5590,0000
158;5600,0000
159;5740,0000
160;5940,0000
161;6040,0000
162;6270,0000
163;6310,0000
164;6390,0000
165;6650,0000
166;6650,0000
167;6650,0000
168;6690,0000
169;6700,0000
170;6700,0000
171;6700,0000
172;7040,0000
173;7040,0000
174;7040,0000
175;7040,0000
176;7210,0000
177;7390,0000
178;7600,0000
179;7740,0000
180;7790,0000
181;7790,0000
182;7790,0000
183;7810,0000
184;7890,0000
185;7890,0000
186;7890,0000
187;8160,0000
188;8190,0000
189;8390,0000
190;8440,0000
191;8530,0000
192;8590,0000
193;8640,0000
194;8690,0000
195;8690,0000
196;8690,0000
197;8840,0000
198;8860,0000
199;8880,0000
200;8890,0000
201;9000,0000
202;9510,0000
203;9510,0000
204;9510,0000
205;9610,0000
206;9670,0000
207;9720,0000
208;9820,0000
209;9850,0000
210;10160,0000
211;10190,0000
212;10240,0000
213;10240,0000
214;10640,0000
215;10650,0000
216;10830,0000
217;10840,0000
218;11000,0000
219;11000,0000
220;11000,0000
221;11240,0000
222;11240,0000
223;11240,0000
224;11270,0000
225;11290,0000
226;11310,0000
227;11340,0000
228;11630,0000
229;11650,0000
230;11690,0000
231;11740,0000
232;11740,0000
233;11740,0000
234;11930,0000
235;11930,0000
236;11930,0000
237;11940,0000
238;12090,0000
239;12180,0000
240;12200,0000
241;12540,0000
242;12540,0000
243;12690,0000
244;12690,0000
245;12690,0000
246;12760,0000
247;12790,0000
248;13070,0000
249;13090,0000
250;13140,0000
251;13490,0000
252;13640,0000
253;13750,0000
254;13880,0000
255;13880,0000
256;13880,0000
257;14190,0000
258;14810,0000
259;14990,0000
260;15240,0000
261;15840,0000
262;15900,0000
263;15950,0000
264;16170,0000
265;16170,0000
266;16170,0000
267;16230,0000
268;16240,0000
269;16270,0000
270;16340,0000
271;16340,0000
272;16340,0000
273;16420,0000
274;16420,0000
275;16420,0000
276;16790,0000
277;16790,0000
278;16790,0000
279;16840,0000
280;16840,0000
281;16840,0000
282;16860,0000
283;16940,0000
284;17350,0000
285;17360,0000
286;17490,0000
287;17780,0000
288;17810,0000
289;17980,0000
290;18000,0000
291;18290,0000
292;18340,0000
293;18340,0000
294;18340,0000
295;18690,0000
296;18830,0000
297;18940,0000
298;19120,0000
299;19390,0000
300;19440,0000
301;19600,0000
302;19770,0000
303;19770,0000
304;19770,0000
305;19790,0000
306;19790,0000
307;19790,0000
308;20010,0000
309;20020,0000
310;20660,0000
311;20840,0000
312;20840,0000
313;20840,0000
314;21140,0000
315;21140,0000
316;21290,0000
317;21990,0000
318;21990,0000
319;21990,0000
320;21990,0000
321;22090,0000
322;22190,0000
323;23490,0000
324;23610,0000
325;23740,0000
326;24090,0000
327;24090,0000
328;24090,0000
329;24690,0000
330;30540,0000
331;31140,0000
